,Tweets,class
1760,#وزارة_التعليم تقيم ورشة عمل للتعريف بنظام التحرش وأهم التدابير اللازمة للوقاية منه  ,0
1761,ولا يزال هناك من الحمقى من يصدق ان حركة سماح (حماس) الارهابية حركة مقاومة وهم في الحقيقة خنازير لشريفه متاجرون بدما…  ,2
1762,     تاج على راس أمثالك يا شاربين بول البعير,3
1763,سكان_العبور: نعاني من #السرقة و #التحرش وحياتنا #جحيم بسبب القهاوي,0
1764,ويظل سلعه بايره في السوق ماحد يشتريه,3
1765,  الطعميه اقدم من بلدك يا اكل الضب وشارب بول البعير,3
1766,  باعوا ارضهم وشرفهم لليهود ماتبيهم يبعون قيادتنا ؟,0
1767,انا سينجل بمزاجي مش عانس ولا بايرة ولا معقدة يبهايم ييهايم  ,3
1768,  ميادهً هل تعلمي ان ألمانيا مكان القناة تعاني من التحرش,2
1769,هذا وهي محتشمة كيف لو كانت متبرجة ؟,0
1770,ترامب اذا امتدح السعودية تحولونها ليهودية سلاااااامم عليي…  ,0
1771,خنازير الجزيره منهجهم إخواني صريح يكذبون لينتصروا يعادون الإمارات يعادون مصر يعادون السعوديه وهم من صنفوا الإخوان ا…  ,1
1772,يا كلاب يا خنازير...أعملو  ريتويت و اعلنوا الطاعة العمياء لتاج راسكم و نايكا اعراضكم يا متناكين يا ولاد الزنى  ,3
1773,ليش عندهم التحرش ظاهرة خطيرة مع ان الدعارة مرخصة ومراقص الستريب تيز وشواطىء العراة محذفة بكل مكان؟  ,3
1774,عمرك جربت تاكل خنزير مقلي؟ — حط عمرك فصحن  ,0
1775,    الدكتور حيدر اللواتي يطهرك ويطهر قبيلتك يالعنز ياشارب بول البعير,1
1776,أن إستثمارات خنازير إيران  ورجالها,1
1777,دورت الفيديو اللي فيه متبرجه ما اعرف منو تقصد واذا سويت ريتويت…  ,0
1778,   بول البعير انظف من بول المعممين الذي تشربونه,2
1779,وهُنا ننتقل إلى لُبنان أو زُبلان و #بول_البعير #لبنان  ,1
1780,    انا مو نفس نوعيتك .. اركض ورا رقص الحريم وانشر .. الهدف من وراء تغريدتي…  ,1
1781,  هذا الخنزير الضعيف الي تتكلمين عنه تعالي شوفي لين يكون مع مجموعه خنازير صهاينه ومعهم قو…  ,1
1782,لي متى بعض الحريم يمشون بسيارتهم من غير ليتات ؟؟؟؟,3
1783,انا احترم المحترم اما الي غدر بحلفائو سابقا وطعنهم بالظهر وحليفو الازرق الحالي وباعه لشاربي بول البعير والان يطعن ب…  ,3
1784,تضحك على الحريم وتعطيهم رمث,3
1785,واللي لِسَّه متجوزتش مش بايره ولا عانس ولا معيوبه يا مجتمع التخلف  ,0
1786,   ماسولف على الحريم  يلا اذلف,3
1787,  تفوا عليكم حكومة عميلة خائتة متصهينة ياشربي بول البعير,1
1788,  خنزير مخرفن,3
1789,"فيه ناس فاهمة التعايش غلط، تقدر تكون بنفس المكان مع أشخاص لادينيين،بوذيين،هندوس،شيعة.. بدون م تشاركهم معتقداتهم وهم…  ",0
1790,   شعب قذر وسخ جميع الألفاظ السيئة تنطبق عليكم,1
1791,بايرة = المرأة أو الفتاة عند…  ,1
1792,  عامةً التحرش معناه انه انت بتأذي شخص و بتعمله حاجه غصب عنه -مالناش دعوه بحلال و حرام- ول…  ,0
1793,يلا يا وسخ  ,3
1794,اي امرأة متبرجة نازعة حجابها لاتشرفنا كا رجال وليس ذكور ولن نفكر نرتبط بها اشوفها نازعه حجابها كمية…  ,3
1795,اي بنت شهوانية منحرفة جاية تطلع محنها تكلمني ننحرف مع بعض ونصييييع,3
1796,      بول البعير والحمير على راسك يا…  ,3
1797,   سمعت عندهم كلاب مشوية زيك .....وقرود ....ولحم خنازير زي الي تحت جلدك يا حفيد المنافقين,3
1798,برى يا خنازير,3
1799,قبل شوي كنت العب pubg مع اليهال والا عراقي داش يسب و يغلط يقول ( ياشرابة بول البعير) بس استحيت ارد عليه,3
1800,   انت عبد خنزير حاقد ياحفيد الفرنسيين يامطبل خليك في الجزائر وشوف الخزي والعار الي…  ,1
1801,   انت اشرب بول البعير. وسكت,3
1802,يوجد أربع عراقيين بالصحراءواحد يقص قصةشاب مريض أتاةفداواةب #بول_البعير شعر الأثنان بجان…,2
1803,  لا تقلو شرب بول البعير  ,3
1804,أيها اللاجئون حقوق الإنسان لا تنتهي في المتوسط .. مرحبا بكم هنا .,0
1805,     تخيلوا ياشاربي بول البعير اليمنيين قوه واحده ضدكم وض…  ,3
1806,"نجح علماء أميركيون، مؤخراً، في زراعة رئة أنتجت داخل المختبر، في أجسام خنازير بالغة، وهو ما يشجع الطب على اتخاذ خطوا…  ",0
1807,  لا مادخل الفلوس وسخ دنيا رغم انها حلوه وتقضي حوايجك بس لوكان شي عزيز علي جوه لا ادخل وماهمني اموت اول…  ,0
1808,  كول خرى  ومن ثم اشرب بول البعير,2
1809,خلاص اقعدي بايرة كده  ,2
1810,شرب بول  البعير  ضار وخطر ولكن شيوخً الاسلام أضر واخطر  ,3
1811,  نظام إسلامي ملكي . يعني ما عندهم مراجع واطيه كما في بلاد المجوس والعراق .والبدواه أصل ا…  ,3
1812,  موتو بحقدكم يا شاربي بول البعير,1
1813,    والله حتى الكلاب أرقى و انظف منكم يا شاربي بول البعير,3
1814,  عشان وسخ وكان عامل حفلة دعم للملف الامريكي,3
1815,محنه فويس ديوث متحرره س…  ,3
1816,على اليمنيين أن يعوا جيدا ما يفعلة طيران خنازير الخليج هذة الليلة ع #صنعاء و,1
1817,لأن التبرج اساسه عدم تربيه او تشويه…,2
1818, ياشينك ياشيخ يعني لازم من التحرش ماهو فزت وخلاص,3
1819,  الامازيغي غير نظيف هههه على اساس ان رسولك يا شارب بول البعير هو من اخترع لنا الصابون وكل…  ,3
1820,غباء الرياييل أشرف من حقارة الحريم.,3
1821,  قليل الادب من اشباه الرجال الي تم تربيته في حظيرة خنازير يتم حظره  فورا,3
1822,بما اني عايش فالفلبين ما اكل كثير لان بصراحة أكلهم أكثره خنازير  #كم_وجبه_تاكل,3
1823,"في الزلفي بايرة المرأة التي لم تتزوج أو التي لم يرغب بها زوجها ولم يطلقها، يقولون في المثل :…  ",3
1824,مطلق الهاشتاق حقير وضيع وكذاب  هذي حركات خنازير جزيرة شرق سلوى#يوسف_علاونة_يسي_للسعوديين,1
1825,  عاد الحريم اول ناس راح يوافقون عالاقتراح,3
1826,قومي سوري داعس راسك,1
1827,انشاءالله يعنى بالأسكواد الأساسى هندوس ع وش تشيلسى و حظهم ان كاس الحليب جاي قبل ماتشهم فى الدوري,3
1828,   الفديو الاصلي  فيه مواضيع عديدة ويناقش قضية التحرش الجنسي من باب اخر تماما…  ,0
1829,فلان باير يعني كسلان,0
1830,يوم تاني تجي وحدة بايرة تقول النساوين مش كيف الرجالة يخدمو ربع توكة بس لانهم يتعبو بسرعة  ,3
1831,شنو جو اللي تحط صوره موصورتها وتكتب ماأحلل اللي ياخذها ياناس الموضوع تطور  الحريم انهبلن,1
1832,  الله يلعنه خنزير ابن خنزيرة,3
1833,  ههههه بول البعير الان زدت جهلا اذا كنت رافضيا ليس عليك عتب وان كنت سني فكلامك ذا اثبت بانك…  ,0
1834,لكنهم خنازير ولا إحساس لهم ولا أخلاق,2
1835,   الواطى هو انت  يا بزوره يا خنزير,1
1836,   ياحافى النعال يناكح المعيز ياشارب بول البعير,1
1837,لكن الغريب في هذا التقرير ان السعودين يشربون بول البعير فهم معذورين في سلوكهم  ,1
1838,  اي شرع يا خنزير القحباني؟ ان تقتل وتقطع وتذيب الجثة هذا دين داعش السعودي الوهابي المجنون…  ,1
1839,قالوا: حطوا ذيل البعير ١٤٠٠ سنة بالقالب وضل أعوج...,0
1840,منطقة منزوعة السلاح بحماية روسية تركية يمكن ان يلجأ اليها اللاجئون,0
1841,   انت والله البهيمه لوعندك ذرة من عقل ماارسلت الخمس للفرس الجوس وبعدين اسالك م…  ,3
1842,  خنازير السيسي القذرة لا تربية ولا اخلاق ... عليك لعنة الله يا زنديق,1
1843,مازيمبي يودع دوري ابطال افريقيا علي ارضه,0
1844,   لاتجاوز على تاج راسك العراق وتكول وسخ  انته الوسخ,3
1845,  لا بتشوف خنازير ايران وتركيا,3
1846,يامطي الفرس,0
1847,"لاتتصارع مع خنزير في الوحل ،، فتتسخ إنت ويستمتع هو .",0
1848,الخنزيره مصدومه من فوز الجمهوريين ههههههه طارت فلوسك ي خنزير  ,3
1849,اوسخ ناس!!! ببررو التحرش وبتمسخرو على الضحية!!!!!  ,3
1850,هؤلاء الأطفال اللاجئون في #تنزانيا يتابعون دراستهم في الهواء الطلق وهذه قصتهم.,0
1851,و لو انت واحد اكيل و مزجانجي و (مسلم) هتقابل مشكلة تانيه و هي ان الاكل اغلبه بيحتوي علي دهن خنزير او لحم خنزير او م…  ,0
1852,  كعادتهم خنازير الجنزيره عندما يرون الحجه عليهم يرغون كما الثعالب .... لقد اللجمه الضيف بالحجاره هذا المذيع الفاجر,1
1853,  كلامك أخي صحيح هم دائما مايستخدموننا نحن الافارقة كأغبياء لانفهم شيئا,3
1854,إن شاء الله التاسعة يا اهلي لانها مهمة اوي في الوقت ده #افريقيا_يا_اهلي,0
1855,سنعة لاجل وفد الحريم المسايير,3
1856,  إذا كانت الجنه تأوي من امثالك وأمثال بني سعود والمنبطحين الذين شربوا بول البعير فناخوا…  ,0
1857,سواء كنتي متبرجة فهذا الشيء…  ,3
1858,باير  = شخص فاشل لا يعمل ولا فائدة ترجى منه,3
1859,  طيب قولي بايره وخلاص,0
1860,عيار بول البعير مخلوط ببول الحمير   ,1
1861,شـعرة من جلد خنزير,2
1862,بالظبط يا جماعه مش زرار هو هندوس عليه هنسامح .  ,2
1863,ده جبته امبارح وخلصتو انهاردة قصتو حلوه خصوصا انو بيتكلم عن حاجة واقعيه بتحصل التحرش والاعتداء نهايته خياليه مش معق…  ,0
1864,  خنزير نجس اتفووووووو عليه خاين عرص وسخ,1
1865,  حتى اني واضع  إعلام ساعودية  حبا لمكة  ونصرتا  لها لو مثلا تهجم خنازير صهاينة على مكة…  ,2
1866,لو ملكنا كرامة ما ركبو ظهورنا خنازير فارسية1250سنة والآن رجعو يركبونا.  ,1
1867,يا كلب يا خنزير تراقب مكوة امك  القحبه  وانت يا كلب فرحان,1
1868,جمهور وسخ ونادي ابن وسخه اصلا  ,2
1869,  انا عايزك تشرب بول البعير وتنام هتصحى زي الفل متقلقش واقرأ بس عن ابراهيم باشا الي قضى علي الدوله السعوديه ١٠٠سنه,1
1870, يا خنزير تشتم محمد عليه افضل الصلاة والتسليم لابوك لابو من جابك وتستهزئ بعد انت حكم الرده فيك قليل اطالب بتغليظ الحكم عليك,1
1871,هندوس عليهم,0
1872,   بول البعير له أحكامه,0
1873,  نهايته قربت كلب ويموت خنزير,3
1874,    حررو مصر من خنازير إسرائيل وكذالك السعوديه ولامارات وبقية الدول العربية…  ,2
1875,طب حد يلعب معايا pubg يا اخوانا بليل ولا هفضل العب مع عشيرة بول البعير,3
1876,  جمال ريان شيخ خنازير الخنزيره  ,2
1877,كم التحرش الي بصير اكيد اله مرجعية اتفق عل…  ,0
1878,قصص التحرش والاغتصاب اللي قاعده اقراها تخوف وتبين انو فعلاً مافي امان وان في حيوانات حتى الحيوانات مايسوون افعالهم…  ,0
1879,  هذا هو الغلط المفروض اغلاق كافة الطرق ودفن خنازير الحوثي في مجاري الصرف الصحي,1
1880,ذنب الكلب اعوج اجلكم الله.... الفرس لهم رب والعياذ ب الله...خنازير الفرس بيننا ك عرب  ,1
1881,  والروس  تأكدوا  أن اسقاط الطائرة جرى بصاروخ جو جو ..لما اقدموا على اعطاء الجيش السوري سلاح ي…  ,0
1882,#بايرة_وادوها_سوط,2
1883,#عدوان_خنازير_الخليج جعلهم الله مضرب للسخرية فى هذا العصر,1
1884,  مفاعل نووي ام يبحثون عن بول البعير   ,3
1885,شارب بول البعير ويتغسل به ويتبارك به اسهل عليه ياكل الضب  ,0
1886,  كلامك هذا يثبت مدى تأثير بول البعير .. انت تتكلم عن شعب كامل وتقول عنه مفصول عن الجزيرة…  ,3
1887,ملاحظة حتى انه تعلق على بنت انها سمينة او شنعة او جسمها مش متناسق او شعرها خشن هذا بندرج تحت التحرش لانه مش شرط التحرش اللفظي يكون كلمات غزل,0
1888,"وبعدين هاري بوتر دا جزمة يعني، يعني عرف إن سنيب كان بيحميه من الجزء الأول ومع ذلك فضل يشك فيه...عيل وسخ.",1
1889,"يللي عايش على بول البعير، فالصو",3
1890,"   ولا وأناخوك ما ظنتي من أتباع عزمي! هذا خنزير حاقد شد بلد، متبرع بخدماته لإبليس!",2
1891,مارتا صاحبة الجايزة وصاحبة الكورة بتاعت الحريم نفسها من اول ما اخترعوها,0
1892,من أين جئتم بي مذهبكم هذا يا اوسخ خلق الله,3
1893,  الطم و الي شرف!  و انت روح اشرب بول البعير و ارضع من ..... و لا بلاش,1
1894,يقول صرت أجلس مع زوجتي وحريم الجيران قهوه الضحى,0
1895,فيديو| صحفية تضرب مشجع حاول التحرش بها على الهواء  ,0
1896,   اتصلت على الرقم طلع قانون التحرش يانواف,3
1897,في ناس كدا مهما زودت powder و foundation و لبس شيك عمرهم مهينضفوا لان جواهم  وسخ,-1
1898,#تطاول_نعمان_كورتلموش ماذا نتوقع من خنازير عُبَّاد القبور غير الطعن في دولة التوحيد والمتأجرة بدين الإسلام وهم لا د…  ,1
1899,"يقولون بول البعير ينعم الشعر،.",0
1900,عادي ياقلبي كلهم كذا خنازير  ,3
1901,   بول البعير أشرف  من فضلات الايرانيين وجواربهم,1
1902,ايقنت ان فيه جمال يخلي الحريم يقطعون يدهم بدال الفواكه,0
1903, موجود اللاعبين راه الوداد ماشي واد زم باش نجيبو الافارقة بالتيست و حتى المحليين كحب الصرف غادي تجيب لاعبين فالمستوى,0
1904,ما اتحمّل اشوف شي وسخ؟؟ماعليه فوضى محدودة لكن وساخة لا…يعني مستحيل اشوف مناديل طايحة في الارض…او علب بلاستك مع الزر…  ,3
1905,"وفلانة بايرة أي لا يطرق بابها الخطاب فلم تتزوج، وب…",0
1906,"  لو سم هم ، احسن من بول البعير الي تشربوه",2
1907,تأهل اغوستو - الترجي - وفاق سطيف لنصف نهائي دوري ابطال افريقيا وبانتظار المتأهل اليوم بين الاهلي وحوريا الغيني  ,0
1908,معروف انهم خنازير ولا يثمر فيهم معروف,2
1909,   لا الوسخ وسخ مايحتاج له برج,3
1910,من كثر ما الجو لندني دشيت ماكدونالدز قلتله نو خنزير بليز,3
1911,ناوية تعرسي ولا تبقي بايرة ؟ — ابقى بايرة طبعاً  ,3
1912,فيلم سوري عن جيل لم يعرف إلا العنف,2
1913, لا لا ماعارف وكنت منتظركم تجو توروني وهسه انت جيت عايز توريني ومعناها بايرة خلاص شكرا لـيك ما توريني ...,3
1914,  الخزنير من تضع صورته انت هو اخر من يتكلم عن شي يخص البشر لانكم انت وهو خنازير لا تمتون للبشريه بصله,1
1915,    ههههههههههههههه عايش في بلدان العدوان  يشرب بول البعير و يأك…  ,0
1916,تعليق: مساكين يمكن ما عندهم قانون مكافحة التحرش عشا…,3
1917,حتى وان كان يفضل المتبرجه  ولكن…  ,3
1918,انا تعبان من الناس الجاهلة من الحريم ومن النساوين,2
1919,   المذكوره أعلاه لها مقاطع في اليوتوب عندما كانت بقره حلوب متبرجه ومن كلامها في…  ,3
1920,يا جماعه مبحبش الكلام الكتير إللى يعرف يهيجنى ع امى ويقول كلام وسخ وشتيمه عليها يكلمني غير كدا لا انا زوبرى بيوقف  من كلامكم وشتيمتكم,2
1921,من كلام الناس وعيون الحريم,3
1922,  خنازير خنازير مفيش كلام,1
1923,  معناته وصخ ونثيا يخلي راسه براس الحريم  اثراهم يعرفون لكم عشان كذا دايسينكم زي النعال,1
1924,  اتحرروا من خوف ايران واجهونا بدون ايران يعني اذا ما حصلت بول من البعير يطلع صوج ايران ههههههههه…  ,0
1925,فكرك وسخ  زي اسلوبك,3
1926,ياخ الخولنه دي بقت تتخذ اشكال في البلد دي لامن بقينا ما بنقدر نفرقنا من الشرمطه .. انعل ابو ده وسخ زاتو ...!  ,3
1927,  العيلة كلها منحرفة سبحان الله  الطيور على اشكالها تقع,3
1928,#شنو_ناقصك_بهل_الوقت سألوا حكيماً: وقالوا من هي اجمل الحريم فقال: اللي يسبونها كل الحريم,3
1929,أنتم ابطال افريقيا و رجال الاهلى ف اى مكان وفى اى وقت.. العبو قاتلوا لكى تكون البطوله من نصيبكم وتكتبوا اسمكم…,0
1930,  اتعلمت والله من امي. الجلسه مع الحريم الكبار ف السن. تجيب الحكمه والعافيه والدعوات ا…  ,0
1931,   السودانيين معلمين السياسه في الوطن العربي ياجهلول يابالع بول البعير  السودانيي…  ,1
1932,  هذا خنزير الكلب اشرف منه ولديه صفات حميدة يطول شرحها,2
1933,وانت شكوووو يا خنزير   ,3
1934,لكن الوسسسخ يبقى وسخ لين يموتً .,1
1935,     شيئ واثق و ثابت حسب جامعة بول البعير,0
1936,   طيب انتي تقولين لك الحق طيب لو جا مسيحي ولا شيعي يطقطق على مذهبك ويقولك انتم اجزتو شرب ب…  ,3
1937,"ارفض ان العب دور الابلة في عالم لا مكان فيه للاغبياء، ارفض ان اشاهد الشعوب تغزو المجرات ونحن نسأل عن بول البعير ورض…  ",3
1938,   والله معاليكم ماراح تلحق على طلبات الشكائين البكائين طلبات الحريم ماتخلص,3
1939,  هههههه حمير ولا ماكان الفرس ركبوكم مسألة وقت يا خنزير لم يبقى الا القليل شوف وين كنتو وين صرت…  ,1
1940,  خنزير ابن اليهودية لو في رجل فعلاً في مصر اغتال هذا القذر السيسي النجس,1
1941,وسخ الدنيا هي الصحون ..,3
1942,خلف تقنية الفار طواقي بتقنية المكياج ..نعنبوهم متى يصيرون رجال ويتركون شغل الحريم...,3
1943,لو نشوفها بمنظور ثاني فعقلك وسخ و يشوف كل شي وصخ  ,3
1944,   ههههههه بول البعير مأثر عليكم ياجماعة,3
1945,"  إلى هيئة كبار العلماء  ،،، هل هذا يجوز  ؟ أمرأة متبرجة حاسرة شعرها تظهر على التلفزيون السعودي الرسمي   !!!!!",3
1946,   مين الخنزير ده,3
1947, مصر غطت على الهند في التحرش ولما فضحتهم اللبنانية سجنوها وعندهم مصطلح '' فهلوة'' عشان يرفعون حرج السرقه عن…  ,0
1948,و المتفصخه و متبرجه سبحان الله.... تقطر إيمانيات,3
1949,  أعداء لبنان عملاء أو بالأحرى خنازير  بشار الكيماوي والصفوي- المجوسي. ما فيكم تعيشو إلا تحت…  ,1
1950,يا فندم لن يغيروا المورث  دا كل مايعرفوة وضمان لسيطرتهم  على شاربى بول البعير عقولهم فارغة لايعرفون  سوى القتل والج…  ,3
1951,    بول البعير يعالج مرضى السرطان وله فايده وماله ريحه…  ,3
1952,بص ياحياتها من امبارح وبنقول الصوره مفبركه والاستدلال فاسد ومافيش فايده فى عقل الخنزير اللى انت حاطه وعاوز تقارن ها…  ,0
1953,لو أني بشتغل بتويتر بشيل العلامه الزرقا من اشباه الصحفيين وبحط  .. خنازير اكلتوا البلد .. #بس_بقول,1
1954,يعني ياشويت خنازير الشرف ملوش معني عندكم يعني انتم مفيش عندكم كرمه بسببكم ياشويت زبالة الناس اخدت فكرة عن ستات مصر…  ,2
1955,  من خلال ردك اكيد سعودي لا يوجد احقر ولا اسفة ولا وسخ منكم في العالم اجمع,1
1956,بس لاعيبة الريال خدت حظ الشباب كلهم ف الحريم ب أمانة يعنى,3
1957,"  بياع شاورما يا عديم التربية ! تعاليكم وتفاخركم يا بول البعير لن ينفعكم ، يلا اقلب وجهك",2
1958,بينما #تميم_المجد يصول ويجول في العالم يحضر المؤتمرات والاجتماعات العالميه والدوليه,0
1959,فإنّما النّاسُ كلُّهمْ وسخُ,1
1960,مو ممنوعين بس هني بخافوا من التحرش و العنف بالملاعب بس في مباريات المنتخب النساء بحضروا يعني الدول مو مانعة حدا  ,3
1961,بصوا الحريم طيب  ,0
1962,   خنزير حقير,2
1963,ولماذا يصدق اللاجئون سياسيين كاذبين بعد أن ذاقوا مرارة اللجوء,0
1964,مع السلامة يا خنازير,3
1965,يا الله شو انو احنا شعب وسخ و حقير..  ,3
1966, معتز مطر شخصيه حقيرة خنزير من خنازير الاخوان المجرمين المنافقين,1
1967,شاهد ردة فعل الناس في روسيا حينما يتم التحرش بفتاة مسلمة وأخرى غير مسلمة,0
1968,وجدي غنيم يفتي بقتل خنازير الاعلام المصري النجسين صهاينة العرب كلاب السيسي العرص وعلى رأسهم احمد موسى وتوفيق عكاشة http://t.co/glu5slamhl,1
1969,   مادام شيوخكم اصلهم يهودي أنتم شو بتطلعون يعني يا هندوس وله مسيح  ,3
1970,  حقدكم الدفين وحسدكم على الاعراب اكلين الضب شاربي بول البعير كيف تفوقو عليكم جعلكم تفرغون انفعالاتكم…  ,3
1971,  دا ماكلامي دا كلام الله... قال للرجال غضوا بصركم وماقال ليهم لو لقيتو متبرجة اتحرشو بي…  ,2
1972,جواب على متدخل من الحسيمة...فقد صوابه و بدأ يتكلم عن بول البعير..و  عن رحيل احباب العربية..لا اعرف اين؟ هل الى اورو…  ,2
1973,  الكلاب تنبح وقافله مصر والسعودية تجري يا خنازير البنا,1
1974,من الواضح ان هدي عبد المنعم متجوزة (2)وخلفت خروفين واحد اسمه احمد السيد والتانى اسمه جهاد خالد,3
1975,   نظن انك سكران ب بول البعير,3
1976,والوسسخ وسخ ولو غسلتو بموية زمزم…,0
1977,ياريت اربع سنين بنقول الكلام ومفيش حد سامع السجون عماله تعلف في خنازير الاخوان وهما يخططوا والكلاب الي بره تنفذ  ,1
1978,ما أعظم موقفك عند الله يا متبرجة يا من خلعت النقاب وتبرجت وفتنت المسلمين,1
1979,لما يولول زى الحريم ليل نهار ولما يرفع سيفه الخشب على شبح ملوش ملامح إسمه الدولة و…,3
1980,  هؤلاء المجوس طوال تاريخهم هم اعداء للاسلام اصلا ومنبع للجرائم والارهاب فليس بغريب علي…  ,1
1981,كويس يا وسخ يا حيوان. تاني قول نفسي في أم رقيقة بالكسرة.,3
1982,هولاء الحثالة؟خنازير بني صهيون,1
1983,عشان وقفة شواربك بغير من الحريم,3
1984,حركة جديدة فى المغرب باسم “ماسكتاش” ضد التحرش تستعمل الصفارة   ,0
1985,    بول البعير اشرف وأنظف من ان اكون متشبه بالنساء بلبس السلاسل…  ,3
1986,#تركي_ال_الشيخ خد غنمك وابلك وانسحب يا بول البعير - مصر كبيرة عليك يا اعرابي  ,3
1987,قومي سوري داعس راسك يا صرماية,0
1988, ملائكة منحرفة وسافله,3
1989,   عن التحرش,0
1990,"  انتي بشعرك المفتوح ده تعتبري متبرجة و مثيرة للبعض ، هل هذا يعطي الحق للآخرين يعاملوكي كسكس د…  ",3
1991,ومتى كان لسانه وسخ؟,0
1992,"  هذا الترقيع لا ينفع، الدين المجوسي إنفضح وكشف ستره وأصبح الصغير قبل الكبير يعرف أنهم على ملة…  ",1
1993,   ياعم دا من جهلهم لسا رايحين يخفو الحريم تسوق سيارات السنادي فوق يا عصر  الن…  ,0
1994,    ولا غيرك البهيمة يا شارب بول البعير..,2
1995,دولة خنازير فعلا ...,2
1996,   صح عندي مشكله بالفهم اظن ان بول البعير الذي شربته هو بول عامل بنگالي,3
1997, يعني التحرش مبرر اذا كان في ضحية ؟؟ هاد اللي فهمتو من تعليقاتهن تفو ع هيك مخ بسس ..,0
1998,  نور قوليلها انها بايرة عشان إللى بتعملوا فينا ده كتير اوى والله,-1
1999,  تونس قوية عليك يا ابني انت وامثالك تقدسون بول البعير .حرام فيكم تكونو من اهل بقاع المقدسه,0
2000,حلوف (خنزير) بلدية ماتسمى البحرين,1
2001,وحـين تجلس كأنها جوهره في الحريم.,0
2002,  اوع تكوني مشركه اقصد بايره ي عبير,1
2003,    والله اذا كان ابوك نجس وكلب وإخوانك حمير  وأمك فحبه وشرموطه هذي عائلة…  ,3
2004,-يوجد استهتار واستهزاء في تلقي بلاغات التحرش من المواطنات !!,0
2005,   وما يحق لأي بنت تنفعل وهي متبرجة واللي تغار على نفسها من جد تحتشم,0
2006,  كذاب انت قبل شهر شايفه يتجول بإحدى مولات الرياض  لا تكذب يا خنزير,3
2007,  لعنك الله يا كذاب يا خاين أصل الفتنه تمشي بعروقكم يا خنازير قطر,3
2008,    الانعام امثالك يا زبالة الي يشرب بول البعير ويركض ورا الع…  ,1
2009,  والله مافي غيرك غبي يا غبي اطلع على المصادر وبعدين انطق بس بول البعير مأثر فيك للغاية ياحيوان,3
2010,جماعة هو الحملة بتاعة التحرش خلصت و ماسكين فالbullying ؟,0
2011,دورة كيف تحمى طفلك من التحرش,0
2012,لو شوال الرز بتاعك عنده دم يمشى ويروح يعمل أندية فبلده بدل تلقيح جتته علينا يا بايرة  ,3
2013,يعجبني اكثر ان الحريم يقولون اكسينشن ونحسبه الفورد الكبير وهو وصلات شعر,0
2014,دور لك احد ثاني غير الحريم تطلع مرجلتك عليه,3
2015,نجنب عن الي حبهم لـ الحريم ريام,0
2016, وش اقول للي عاشرتهم مو حيونات الا خنازير,1
2017,ونهايتكم  قادمة . شاربي بول البعير .,1
2018,وطبعاً من أسباب تشبث العراقيين ببول البعير وأنه أكثر مايُذكر على ألسنتهم أن براءة الأختراع الوحيدة وأن تعليم العراق…  ,2
2019,  انتو الزبالة بحد ذاتها . مهلكة الرمال وشاربي بول البعير,1
2020,   اي لان كلكم بعورة همج... العراق بلد حمورابي والجنائن المعلقة وبلاد مابين النهرين و…  ,1
2021,للى بيقولوا لبس البنت سبب التحرش,3
2022,و اللاجئون بلا اوطانهم,0
2023,     يبدو انك بايرة من البايرات ربي يجيبلك زوج من التويتر ولا الفيس ...قولي ان شاء الله,3
2024,ظل التحرش في نظر الانثي تحرشاً حتي يقوم بيه الرجل المناسب .... فيصبح غزل,0
2025,هل تعتقدين كشف الوجه ؟ هل هان عليك أمر التبرج ؟ الكل يستطيع…  ,3
2026,مراة عورة,2
2027,  أمثر التحرش يكون لفظيا,0
2028,كم التحرش الي بصير اكيد اله مرجعية اتفق عليها عش…,0
2029,مسكين كان الله في عون اخوتنا السوريين على هذا وأمثاله..,2
2030,  آه البخاري قال اشربوا بول البعير تمام اصدقك الان,2
2031,فيه شايب مدري وش عند أمه اكثر من مره يدخل للبيت ويفجعنا يجلس يطالع نقلوا انزل ماينزل يطالع وشوي وينزل ..! شكله وسخ…  ,0
2032, هذا خمار خنزير ابن ستين كلب هذا العلاونة,0
2033,   قطر مثل بول البعير في الخليج إرتمت في أحضان الاخوان الفلسين فعزلوها عن…  ,3
2034,بروح سكشن ال gis علشان اتغفل بس اقسم بالله كميه صور تخيلني بايره مدي الحياه الله يكرمكوا ي جماعه الدفعه كلها بتيجي…  ,0
2035,  لا خنازير احلا,3
2036,إلا ثلل منحرفة لاتمثل مكارم الاخلاق والحب…  ,3
2037,قربت نهايتك ي خنزير مران  ,1
2038,فيديو من دورة كيف أقي نفسي من التحرش,0
2039, لا تلاحظ انه كلام كلام شرب بول البعير و افتخارك ب الأوربيين من قتل اجدادك هذا دليل انك بدون مبدأ و لا ه…  ,0
2040,   انتم استخدمتو حمير وضليتو خنازير,1
2041,يمكن يقال هالنوع ماعليه شرهه وعادي هذا طبع الحريم متناقضات..اوك..لكن الأمر مأخوذ بالحسبان ويقوم عليه تجاره ياناس وف…  ,3
2042,   ايوه ما دام طلعت متبرجة طبيعي يتحرشو بيها ولو طلعت مستوره لما فكر المرضى وضعاف النفوس في النظر اليها,3
2043,   انا ماجيت انهق الا على حمير ايران الي مثلكم يا خنازير,2
2044,   اطهر من وجهك بول البعير,3
2045, ياكل لحم خنزير صدقو المطاوعه لله درهم,0
2046, هو ف سواقة حريم وسواقة رجالة,0
2047, هاذي كورة جلد خنزير فيها ظلم لاكن ماتاصل للدعاء,3
